feature,coefficient,absolute_coefficient
tenure,-1.154247522747705,1.154247522747705
internetservice Fiber optic,0.7896403225744318,0.7896403225744318
contract Month-to-month,0.7208736518656899,0.7208736518656899
monthlycharges,-0.7139589687658757,0.7139589687658757
contract Two year,-0.7118980576962474,0.7118980576962474
internetservice DSL,-0.5706042721209141,0.5706042721209141
totalcharges,0.4886575505063449,0.4886575505063449
streamingmovies Yes,0.3484774508951472,0.3484774508951472
streamingtv Yes,0.3356193068645802,0.3356193068645802
paymentmethod Electronic check,0.28775361071275063,0.28775361071275063
onlinesecurity No,0.26294309892521733,0.26294309892521733
techsupport No,0.22914794764526492,0.22914794764526492
deviceprotection No internet service,-0.2189627455813476,0.2189627455813476
onlinesecurity No internet service,-0.2189627455813476,0.2189627455813476
streamingmovies No internet service,-0.2189627455813476,0.2189627455813476
streamingtv No internet service,-0.2189627455813476,0.2189627455813476
techsupport No internet service,-0.2189627455813476,0.2189627455813476
onlinebackup No internet service,-0.2189627455813476,0.2189627455813476
internetservice No,-0.2189627455813476,0.2189627455813476
multiplelines Yes,0.18212898711591552,0.18212898711591552
multiplelines No,-0.17220524631703063,0.17220524631703063
paperlessbilling,0.16545425881946133,0.16545425881946133
deviceprotection Yes,0.14398738130204972,0.14398738130204972
onlinebackup No,0.13218488515841953,0.13218488515841953
streamingmovies No,-0.129441400441646,0.129441400441646
streamingtv No,-0.11658325641107753,0.11658325641107753
paymentmethod Bank transfer (automatic),-0.11353856955395523,0.11353856955395523
paymentmethod Credit card (automatic),-0.11314664156565686,0.11314664156565686
dependents,-0.10497668379587548,0.10497668379587548
onlinebackup Yes,0.08685116529508667,0.08685116529508667
deviceprotection No,0.07504866915142519,0.07504866915142519
paymentmethod Mailed check,-0.06099509472093624,0.06099509472093624
seniorcitizen,0.05659779507135179,0.05659779507135179
onlinesecurity Yes,-0.043907048471697234,0.043907048471697234
phoneservice,0.03297379368769266,0.03297379368769266
gender Male,0.01593205401845531,0.01593205401845531
gender Female,-0.015858749146306503,0.015858749146306503
techsupport Yes,-0.010111897191813704,0.010111897191813704
multiplelines No phone service,-0.009850435926681746,0.009850435926681746
partner,0.00913873533799608,0.00913873533799608
contract One year,-0.008902289297267486,0.008902289297267486
